news_headline,news_article,news_category,full_text,clean_text
"Have doubt regarding NZ, they might just struggle in UAE: Aakash on T20 WC","Cricketer-turned-commentator Aakash Chopra has said that he has doubts regarding New Zealand reaching the final at the upcoming T20 World Cup. ""NZ do surprise everyone but these are the UAE conditions. I see Pakistan and India's chances extremely bright,"" Aakash stated. New Zealand recently won the ICC World Test Championship and had lost the 2019 World Cup final to England. ",sports,"Have doubt regarding NZ, they might just struggle in UAE: Aakash on T20 WC. Cricketer-turned-commentator Aakash Chopra has said that he has doubts regarding New Zealand reaching the final at the upcoming T20 World Cup. ""NZ do surprise everyone but these are the UAE conditions. I see Pakistan and India's chances extremely bright,"" Aakash stated. New Zealand recently won the ICC World Test Championship and had lost the 2019 World Cup final to England. ",doubt regard nz might struggle uae aakash wc cricketer turn commentator aakash chopra say doubt regard new zealand reach final upcoming world cup nz surprise everyone uae condition I see pakistan india chance extremely bright aakash state new zealand recently win icc world test championship lose world cup final england
India would've won 1st Test also if not for rain in Nottingham: Michael Atherton,"Ex-England batsman Michael Atherton has said that India would have won the first Test against England if not for rain on the fifth day in Nottingham. India were 52/1 and needed another 157 runs to win on the final day at Trent Bridge. ""To all intent and purposes, India should be 2-0 up [in the five-Test series],"" Atherton stated.  ",sports,"India would've won 1st Test also if not for rain in Nottingham: Michael Atherton. Ex-England batsman Michael Atherton has said that India would have won the first Test against England if not for rain on the fifth day in Nottingham. India were 52/1 and needed another 157 runs to win on the final day at Trent Bridge. ""To all intent and purposes, India should be 2-0 up [in the five-Test series],"" Atherton stated.  ",india would win st test also not rain nottingham michael atherton ex england batsman michael atherton say india would win first test england not rain fifth day nottingham india need another run win final day trent bridge intent purpose india [ five test series ] atherton state
"Bharat Arun identified Siraj, bowler took him as his guru: Sivaramakrishnan","Ex-Team India spinner Laxman Sivaramakrishnan has said pacer Mohammed Siraj owes his success to bowling coach Bharat Arun. ""When Arun was the coach for Hyderabad for a year or so, he identified Siraj...He took Arun as his guru and went about doing exactly what he wanted him to do,"" he added. Siraj took eight wickets at Lord's Test against England.",sports,"Bharat Arun identified Siraj, bowler took him as his guru: Sivaramakrishnan. Ex-Team India spinner Laxman Sivaramakrishnan has said pacer Mohammed Siraj owes his success to bowling coach Bharat Arun. ""When Arun was the coach for Hyderabad for a year or so, he identified Siraj...He took Arun as his guru and went about doing exactly what he wanted him to do,"" he added. Siraj took eight wickets at Lord's Test against England.",bharat arun identify siraj bowler take guru sivaramakrishnan ex team india spinner laxman sivaramakrishnan say pacer mohammed siraj owe success bowling coach bharat arun arun coach hyderabad year identify siraj take arun guru go exactly want add siraj take eight wicket lord test england
"Man City beat Norwich 5-0, Liverpool defeat Burnley 2-0 in home games","Manchester City earned their first win of the Premier League 2021-22 season as they registered a 5-0 win over Norwich City at home on Saturday. Liverpool also won their home game against Burnley 2-0, securing their second victory of the season in their two games. Everton and Crystal Palace played out draws against Leeds and Brentford respectively. ",sports,"Man City beat Norwich 5-0, Liverpool defeat Burnley 2-0 in home games. Manchester City earned their first win of the Premier League 2021-22 season as they registered a 5-0 win over Norwich City at home on Saturday. Liverpool also won their home game against Burnley 2-0, securing their second victory of the season in their two games. Everton and Crystal Palace played out draws against Leeds and Brentford respectively. ",man city beat norwich liverpool defeat burnley home game manchester city earn first win premier league season register win norwich city home saturday liverpool also win home game burnley secure second victory season two game everton crystal palace play draw leeds brentford respectively
KL Rahul's century at Lord's established that he's back for good: Aakash,"Cricketer-turned-commentator Aakash Chopra has said KL Rahul's 129-run innings at Lord's Test has established that he's back as India's Test opener for good. ""Rahul's first innings of the tour, 84 at Trent Bridge, showed that he's trusting his skills against the new ball,"" Aakash added. Rahul was dropped from the Test squad after India's tour of West Indies in 2019. ",sports,"KL Rahul's century at Lord's established that he's back for good: Aakash. Cricketer-turned-commentator Aakash Chopra has said KL Rahul's 129-run innings at Lord's Test has established that he's back as India's Test opener for good. ""Rahul's first innings of the tour, 84 at Trent Bridge, showed that he's trusting his skills against the new ball,"" Aakash added. Rahul was dropped from the Test squad after India's tour of West Indies in 2019. ",kl rahul century lord establish back good aakash cricketer turn commentator aakash chopra say kl rahul run innings lord test establish back india test opener good rahul first innings tour trent bridge show trust skill new ball aakash add rahul drop test squad india tour west indie
Amit Khatri wins India's 1st medal in race walk at World Athletics U20 Championships ,"India's Amit Khatri won silver medal in men's 10,000m race walk at the World Athletics Under-20 Championships in Nairobi on Saturday. Notably, Amit is only the fifth individual Indian athlete to win a medal in the event's history and the first to win a medal in the race walk event. Amit finished with a time of 42 minutes 17.94 seconds. ",sports,"Amit Khatri wins India's 1st medal in race walk at World Athletics U20 Championships . India's Amit Khatri won silver medal in men's 10,000m race walk at the World Athletics Under-20 Championships in Nairobi on Saturday. Notably, Amit is only the fifth individual Indian athlete to win a medal in the event's history and the first to win a medal in the race walk event. Amit finished with a time of 42 minutes 17.94 seconds. ",amit khatri win india st medal race walk world athletic u championship india amit khatri win silver medal man race walk world athletic championship nairobi saturday notably amit fifth individual indian athlete win medal event history first win medal race walk event amit finish time minute second
Punjab Kings sign Australia's Nathan Ellis for UAE leg of IPL 2021,"Punjab Kings have signed Australia's 26-year-old pacer Nathan Ellis for the second half of IPL 2021. Ellis has been roped in as one of the replacements for Jhye Richardson and Riley Meredith, who have reportedly made themselves unavailable for the remaining matches of the 2021 season. Ellis was recently drafted into Australia's reserve players for the T20 World Cup. ",sports,"Punjab Kings sign Australia's Nathan Ellis for UAE leg of IPL 2021. Punjab Kings have signed Australia's 26-year-old pacer Nathan Ellis for the second half of IPL 2021. Ellis has been roped in as one of the replacements for Jhye Richardson and Riley Meredith, who have reportedly made themselves unavailable for the remaining matches of the 2021 season. Ellis was recently drafted into Australia's reserve players for the T20 World Cup. ",punjab king sign australia nathan ellis uae leg ipl punjab king sign australia year old pacer nathan ellis second half ipl ellis rope one replacement jhye richardson riley meredith reportedly make unavailable remain match season ellis recently draft australia reserve player world cup
Dravid's NCA association best thing to have happened to Indian cricket: Irfan,"Former India all-rounder Irfan Pathan has said the best thing that happened to Indian cricket has been Rahul Dravid taking up the role of head coach at National Cricket Academy (NCA). ""I've a huge amount of respect for Dravid. Dravid bhai has performed his role with utmost sincerity,"" he added. Dravid's tenure will be ending this month.",sports,"Dravid's NCA association best thing to have happened to Indian cricket: Irfan. Former India all-rounder Irfan Pathan has said the best thing that happened to Indian cricket has been Rahul Dravid taking up the role of head coach at National Cricket Academy (NCA). ""I've a huge amount of respect for Dravid. Dravid bhai has performed his role with utmost sincerity,"" he added. Dravid's tenure will be ending this month.",dravid nca association good thing happen indian cricket irfan former india rounder irfan pathan say good thing happen indian cricket rahul dravid take role head coach national cricket academy nca I huge amount respect dravid dravid bhai perform role utmost sincerity add dravid tenure end month
1st overseas Test century is around the corner for Rohit: Gavaskar,"Talking about Rohit Sharma's form in ongoing Test series against England, ex-India captain Sunil Gavaskar said that a maiden overseas Test century is around the corner for the Team India opener. Rohit hit 83 runs in first innings of second England-India Test at Lord's. Gavaskar also added that Rohit's adjustment according to pitch in first innings at Lord's was ""brilliant"".",sports,"1st overseas Test century is around the corner for Rohit: Gavaskar. Talking about Rohit Sharma's form in ongoing Test series against England, ex-India captain Sunil Gavaskar said that a maiden overseas Test century is around the corner for the Team India opener. Rohit hit 83 runs in first innings of second England-India Test at Lord's. Gavaskar also added that Rohit's adjustment according to pitch in first innings at Lord's was ""brilliant"".",st overseas test century around corner rohit gavaskar talk rohit sharma form ongoing test series england ex india captain sunil gavaskar say maiden overseas test century around corner team india opener rohit hit run first innings second england india test lord gavaskar also add rohit adjustment accord pitch first innings lord brilliant
Reflexes are getting slower: Ramiz Raja on Azhar getting out for duck vs WI,"Ex-Pakistan cricketer Ramiz Raja criticised 36-year-old Azhar Ali after he got out for a duck in their ongoing Test against West Indies. ""Azhar has played so many Tests but he's yet to establish the balance at the crease. His reflexes are getting slower with age,"" Ramiz stated. Pakistan lost three wickets for 2 runs before ending Day 1 at 212/4.",sports,"Reflexes are getting slower: Ramiz Raja on Azhar getting out for duck vs WI. Ex-Pakistan cricketer Ramiz Raja criticised 36-year-old Azhar Ali after he got out for a duck in their ongoing Test against West Indies. ""Azhar has played so many Tests but he's yet to establish the balance at the crease. His reflexes are getting slower with age,"" Ramiz stated. Pakistan lost three wickets for 2 runs before ending Day 1 at 212/4.",reflex get slow ramiz raja azhar get duck vs wi ex pakistan cricketer ramiz raja criticise year old azhar ali get duck ongoing test west indie azhar play many test yet establish balance crease reflex get slow age ramiz state pakistan lose three wicket run end day
When will we have our own IPL? It'll make women's cricket better: Jemimah,"Talking about starting women's Indian Premier League (IPL), India Women batter Jemimah Rodrigues said that it's high time women had an IPL. ""When we see WBBL (Women's Big Bash League) happening, then KSL (Kia Super League) and now 'The Hundred', we are all like, when will we have our own IPL? It's going to make women's cricket better,"" she added.",sports,"When will we have our own IPL? It'll make women's cricket better: Jemimah. Talking about starting women's Indian Premier League (IPL), India Women batter Jemimah Rodrigues said that it's high time women had an IPL. ""When we see WBBL (Women's Big Bash League) happening, then KSL (Kia Super League) and now 'The Hundred', we are all like, when will we have our own IPL? It's going to make women's cricket better,"" she added.",ipl make woman cricket well jemimah talk start woman indian premier league ipl india woman batter jemimah rodrigues say high time woman ipl see wbbl woman big bash league happen ksl kia super league hundred like ipl go make woman cricket well add
A Test cap would mean so much more than anything else: England's Mahmood,"Talking about his Test debut against Team India in third Test, pacer Saqib Mahmood said that a Test cap would mean so much for him more than anything else. ""For me, it's [playing Test] still the pinnacle...if I had to play just one format for England, it would be Test cricket. It's five days of real graft,"" he added.",sports,"A Test cap would mean so much more than anything else: England's Mahmood. Talking about his Test debut against Team India in third Test, pacer Saqib Mahmood said that a Test cap would mean so much for him more than anything else. ""For me, it's [playing Test] still the pinnacle...if I had to play just one format for England, it would be Test cricket. It's five days of real graft,"" he added.",test cap would mean much anything else england mahmood talk test debut team india third test pacer saqib mahmood say test cap would mean much anything else I [ play test ] still pinnacle I play one format england would test cricket five day real graft add
First 2 cases of COVID-19 reported from Olympic Village at Paralympics,Tokyo Paralympics organising committee on Saturday confirmed the first two cases of COVID-19 inside the Olympic Village. No athlete has reported positive so far as the two cases from the Village are among the staff. The organising committee revealed a total of 15 new cases in the last 24 hours. Paralympics will begin on Tuesday.,sports,First 2 cases of COVID-19 reported from Olympic Village at Paralympics. Tokyo Paralympics organising committee on Saturday confirmed the first two cases of COVID-19 inside the Olympic Village. No athlete has reported positive so far as the two cases from the Village are among the staff. The organising committee revealed a total of 15 new cases in the last 24 hours. Paralympics will begin on Tuesday.,first case covid report olympic village paralympics tokyo paralympics organising committee saturday confirm first two case covid inside olympic village no athlete report positive far two case village among staff organise committee reveal total new case last hour paralympic begin tuesday
Afghanistan-Pakistan ODI series will go ahead as per schedule: ACB CEO,"Hamid Shinwari, CEO of the Afghanistan Cricket Board (ACB), has said the three-match ODI series between Afghanistan and Pakistan will go ahead in spite of the political situation in Afghanistan. ""Cricket was not an issue during the Taliban regime before and it will not be an issue now,"" he added. All three ODIs will be played in Hambantota, Sri Lanka.",sports,"Afghanistan-Pakistan ODI series will go ahead as per schedule: ACB CEO. Hamid Shinwari, CEO of the Afghanistan Cricket Board (ACB), has said the three-match ODI series between Afghanistan and Pakistan will go ahead in spite of the political situation in Afghanistan. ""Cricket was not an issue during the Taliban regime before and it will not be an issue now,"" he added. All three ODIs will be played in Hambantota, Sri Lanka.",afghanistan pakistan odi series go ahead per schedule acb ceo hamid shinwari ceo afghanistan cricket board acb say three match odi series afghanistan pakistan go ahead spite political situation afghanistan cricket not issue taliban regime not issue add three odis play hambantota sri lanka
From watching RCB at home to being part of them is exciting: SL's Hasaranga,"Sri Lanka leg-spinner Wanindu Hasaranga, who's one of the three players signed by RCB for the UAE leg of IPL 2021, took to Instagram to express his excitement. ""From sitting at home and watching them, to being [part of them]. I'm excited, honoured and thrilled all at once,"" he wrote. RCB have also signed Tim David and Dushmantha Chameera. ",sports,"From watching RCB at home to being part of them is exciting: SL's Hasaranga. Sri Lanka leg-spinner Wanindu Hasaranga, who's one of the three players signed by RCB for the UAE leg of IPL 2021, took to Instagram to express his excitement. ""From sitting at home and watching them, to being [part of them]. I'm excited, honoured and thrilled all at once,"" he wrote. RCB have also signed Tim David and Dushmantha Chameera. ",watch rcb home part exciting sl hasaranga sri lanka leg spinner wanindu hasaranga one three player sign rcb uae leg ipl take instagram express excitement sit home watch [ part ] I excited honour thrill write rcb also sign tim david dushmantha chameera
Alia unboxes the new Galaxy Z Series; will she Flip or Fold?: Samsung,"Alia Bhatt unboxes the next-generation Galaxy Foldable phones—Galaxy Z Flip3 5G and Galaxy Z Fold3 5G. ""With the world's first water-resistant Foldables, she gets to reimagine the smartphone experience and unfold a new way to work, watch and express. However, she is having a tough time deciding whether to pick Flip or Fold,"" Samsung said.",technology,"Alia unboxes the new Galaxy Z Series; will she Flip or Fold?: Samsung. Alia Bhatt unboxes the next-generation Galaxy Foldable phones—Galaxy Z Flip3 5G and Galaxy Z Fold3 5G. ""With the world's first water-resistant Foldables, she gets to reimagine the smartphone experience and unfold a new way to work, watch and express. However, she is having a tough time deciding whether to pick Flip or Fold,"" Samsung said.",alia unboxes new galaxy z series flip fold samsung alia bhatt unboxes next generation galaxy foldable phonesgalaxy z flip g galaxy z fold g world first water resistant foldable get reimagine smartphone experience unfold new way work watch express however tough time decide whether pick flip fold samsung say
"Hackers rename Shatrughan Sinha's Twitter account to 'Elon Musk', change profile pic",Hackers changed Congress leader and actor Shatrughan Sinha's Twitter account's name to 'Elon Musk' and his profile photo to a photo of a rocket launch. The hackers also posted about a Dogecoin giveaway on the Tesla CEO's Twitter feed. It appears that the hackers had kept the password unchanged as Sinha tweeted about his colleague Shashi Tharoor on Saturday.,technology,"Hackers rename Shatrughan Sinha's Twitter account to 'Elon Musk', change profile pic. Hackers changed Congress leader and actor Shatrughan Sinha's Twitter account's name to 'Elon Musk' and his profile photo to a photo of a rocket launch. The hackers also posted about a Dogecoin giveaway on the Tesla CEO's Twitter feed. It appears that the hackers had kept the password unchanged as Sinha tweeted about his colleague Shashi Tharoor on Saturday.",hacker rename shatrughan sinha twitter account elon musk change profile pic hacker change congress leader actor shatrughan sinha twitter account name elon musk profile photo photo rocket launch hacker also post dogecoin giveaway tesla ceo twitter feed appear hacker keep password unchanged sinha tweet colleague shashi tharoor saturday
Which Indian firms are among the 500 most valuable globally as per Hurun?,"Hurun on Friday released a list of the world's 500 most valuable non-state-controlled companies, which includes 12 Indian companies. The first 10 Indian firms are Reliance Industries with $188 billion, followed by TCS, HDFC Bank, Infosys, ICICI Bank, HDFC, Kotak Mahindra Bank, Bajaj Finance, Wipro and Bharti Airtel. Asian Paints and HCL Technologies are the other two Indian firms.",technology,"Which Indian firms are among the 500 most valuable globally as per Hurun?. Hurun on Friday released a list of the world's 500 most valuable non-state-controlled companies, which includes 12 Indian companies. The first 10 Indian firms are Reliance Industries with $188 billion, followed by TCS, HDFC Bank, Infosys, ICICI Bank, HDFC, Kotak Mahindra Bank, Bajaj Finance, Wipro and Bharti Airtel. Asian Paints and HCL Technologies are the other two Indian firms.",indian firm among valuable globally per hurun hurun friday release list world valuable non state control company include indian company first indian firm reliance industry billion follow tcs hdfc bank infosys icici bank hdfc kotak mahindra bank bajaj finance wipro bharti airtel asian paint hcl technology two indian firm
"Robbers track a man using an Apple Watch, rob him of $500,000 in cash in US","A group of robbers robbed a man of $500,000 in cash using an Apple Watch in US, the details of which were made public recently. The robbers had placed the Apple Watch under his car's bumper and tracked the victim to a hotel parking lot. Following this, they located his hotel room and managed to escape with the money.",technology,"Robbers track a man using an Apple Watch, rob him of $500,000 in cash in US. A group of robbers robbed a man of $500,000 in cash using an Apple Watch in US, the details of which were made public recently. The robbers had placed the Apple Watch under his car's bumper and tracked the victim to a hotel parking lot. Following this, they located his hotel room and managed to escape with the money.",robber track man use apple watch rob cash group robber rob man cash use apple watch detail make public recently robber place apple watch car bumper track victim hotel parking lot follow locate hotel room manage escape money
OYO's valuation hits $9.6 bn after Microsoft's $5 mn investment,"Microsoft has invested $5 million in hotel and hospitality chain OYO, taking its valuation to $9.6 billion, media reports said citing filings. Earlier reports on Microsoft's strategic investment in OYO had also said the investment may involve OYO shifting to use Microsoft's cloud services. OYO has reportedly shortlisted investment banks JP Morgan, Kotak Mahindra Capital and Citi for its IPO.",technology,"OYO's valuation hits $9.6 bn after Microsoft's $5 mn investment. Microsoft has invested $5 million in hotel and hospitality chain OYO, taking its valuation to $9.6 billion, media reports said citing filings. Earlier reports on Microsoft's strategic investment in OYO had also said the investment may involve OYO shifting to use Microsoft's cloud services. OYO has reportedly shortlisted investment banks JP Morgan, Kotak Mahindra Capital and Citi for its IPO.",oyo valuation hit bn microsoft mn investment microsoft invest million hotel hospitality chain oyo take valuation billion medium report say cite filing early report microsoft strategic investment oyo also say investment may involve oyo shift use microsoft cloud service oyo reportedly shortlist investment bank jp morgan kotak mahindra capital citi ipo
$560 billion wiped off China markets this week amid crackdown on tech firms,"Over $560 billion in market value has been wiped off Hong Kong and mainland China exchanges in a week as China's tech stocks slumped amid a crackdown. Hang Seng index fell 1.8% on Friday and 5.8% in the week, its largest since March 2020. Alibaba's Hong Kong shares ended at a record closing low, while Tencent touched a 14-month low.",technology,"$560 billion wiped off China markets this week amid crackdown on tech firms. Over $560 billion in market value has been wiped off Hong Kong and mainland China exchanges in a week as China's tech stocks slumped amid a crackdown. Hang Seng index fell 1.8% on Friday and 5.8% in the week, its largest since March 2020. Alibaba's Hong Kong shares ended at a record closing low, while Tencent touched a 14-month low.",billion wipe china market week amid crackdown tech firm billion market value wipe hong kong mainland china exchange week china tech stock slump amid crackdown hang seng index fall friday week large since march alibaba hong kong share end record closing low tencent touch month low
"Elon Musk unveils 'Tesla Bot', an AI-powered humanoid robot for repetitive tasks","During Tesla's first AI Day, CEO Elon Musk revealed that his company is building a 5-foot-8-inch and 125-pound humanoid robot, called Tesla Bot, whose prototype will be ready next year. ""It's intended to be friendly...and eliminate dangerous, repetitive and boring tasks,"" Musk said. The bot, which will have a screen for a face, will use Tesla's self-driving AI software.",technology,"Elon Musk unveils 'Tesla Bot', an AI-powered humanoid robot for repetitive tasks. During Tesla's first AI Day, CEO Elon Musk revealed that his company is building a 5-foot-8-inch and 125-pound humanoid robot, called Tesla Bot, whose prototype will be ready next year. ""It's intended to be friendly...and eliminate dangerous, repetitive and boring tasks,"" Musk said. The bot, which will have a screen for a face, will use Tesla's self-driving AI software.",elon musk unveil tesla bot ai power humanoid robot repetitive task tesla first ai day ceo elon musk reveal company build foot inch pound humanoid robot call tesla bot whose prototype ready next year intend friendly eliminate dangerous repetitive boring task musk say bot screen face use tesla self drive ai software
